elec_state,party,margin,vs
McMahon (NSW) ,ALP ,6.6 ,,,,,,,
McPherson (QLD) ,LNP ,12.2 ,,,,,,,
Melbourne (VIC) ,GRN ,22.6 ,v LIB,,,,,,
Menzies (VIC) ,LIB ,7.0 ,,,,,,,
Mitchell (NSW) ,LIB ,18.6 ,,,,,,,
Monash (VIC) ,LIB ,6.9 ,,,,,,,
Moncrieff (QLD) ,LNP ,15.4 ,,,,,,,
Moore (WA) ,LIB ,11.6 ,,,,,,,
Moreton (QLD) ,ALP ,1.9 ,,,,,,,
New England (NSW) ,NAT ,17.6 ,,,,,,,
Newcastle (NSW) ,ALP ,13.8 ,,,,,,,
Nicholls (VIC) ,NAT ,20.0 ,,,,,,,
North Sydney (NSW) ,LIB ,9.3 ,,,,,,,
O'Connor (WA) ,LIB ,15.4 ,,,,,,,
Oxley (QLD) ,ALP ,6.4 ,,,,,,,
Page (NSW) ,NAT ,9.5 ,,,,,,,
Parkes (NSW) ,NAT ,16.9 ,,,,,,,
Parramatta (NSW) ,ALP ,3.5 ,,,,,,,
Paterson (NSW) ,ALP ,5.0 ,,,,,,,
Pearce (WA) ,LIB ,5.2 ,,,,,,,
Perth (WA) ,ALP ,3.2 ,,,,,,,
Petrie (QLD) ,LNP ,8.4 ,,,,,,,
Rankin (QLD) ,ALP ,6.4 ,,,,,,,
Reid (NSW) ,LIB ,3.2 ,,,,,,,
Richmond (NSW) ,ALP ,4.1 ,,,,,,,
Riverina (NSW) ,NAT ,19.5 ,,,,,,,
Robertson (NSW) ,LIB ,4.2 ,,,,,,,
Ryan (QLD) ,LNP ,6.0 ,,,,,,,
Scullin (VIC) ,ALP ,21.7 ,,,,,,,
Shortland (NSW) ,ALP ,4.5 ,,,,,,,
Solomon (NT) ,ALP ,3.1 ,,,,,,,
Spence (SA) ,ALP ,14.1 ,,,,,,,
Sturt (SA) ,LIB ,6.9 ,,,,,,,
Swan (WA) ,LIB ,3.2 ,,,,,,,
Sydney (NSW) ,ALP ,18.7 ,,,,,,,
Tangney (WA) ,LIB ,9.5 ,,,,,,,
Wannon (VIC) ,LIB ,10.2 ,,,,,,,
Warringah (NSW) ,IND ,7.2 ,v LIB,,,,,,
Watson (NSW) ,ALP ,13.5 ,,,,,,,
Wentworth (NSW) ,LIB ,1.3 ,v IND,,,,,,
Werriwa (NSW) ,ALP ,5.5 ,,,,,,,
Whitlam (NSW) ,ALP ,10.9 ,,,,,,,
Wide Bay (QLD) ,LNP ,13.2 ,,,,,,,
Wills (VIC) ,ALP ,8.2 ,v GRN,,,,,,
Wright (QLD) ,LNP ,14.6 ,,,,,,,
Lalor (VIC) ,ALP ,12.5 ,,,,,,,
